genes,rank
RPL35,10.975635780754937
ATP5ME,10.934151517812243
COX7C,10.905432322973821
AC245297.3,10.865044061694816
RPL31,10.827721074126693
TESPA1,10.79551313580759
SYNE1,10.778900508477467
BPTF,10.688480734650563
SYTL3,10.64092245379184
UPF2,10.631321630898036
TAPBP,10.628472955999266
KCNAB2,10.619761548805457
PRKCH,10.607946070509245
N4BP2L2,10.60656643720556
RBM38,10.579605316471929
KPNB1,10.561121878918375
CARD16,10.5242245969126
DPYD,10.51844328223616
CASP1,10.505091773639185
RASA2,10.441098918687194
LYST,10.41741020835835
BCL2,10.395906617740215
DGKZ,10.377915828391785
PIK3CD,10.377145202425787
GBP2,10.31702638365589
IQGAP1,10.298567896428466
NSD3,10.275444767434113
C9orf78,10.248966664654699
FAM102A,10.23849079178456
RPL13A,10.223529431904621
PSMA5,10.196854856878408
EIF3K,10.19215190391822
TRMT112,10.154076980360346
BAZ1A,10.153377078196936
NACA,10.129780259260222
GCC2,10.118008638351109
PRR13,10.094945792505287
IFNG,10.0835384663001
HSPA8,9.954142404709932
APOL6,9.88290930991709
CLDND1,9.818224110645218
UCP2,9.785416544242391
SSR2,9.714476868979066
SCAF11,9.671809533718251
PRPF38B,9.638355267054527
CYBA,9.614647957953233
TRAT1,9.604917796752522
TXN,9.576315611354303
GOLGA8B,9.553834365808267
DGKA,9.51609339694904
METTL23,9.337783628761242
CNN2,9.335078572376476
SQSTM1,9.331076405988885
CREM,9.300136921684842
PNISR,9.283903923029154
OGA,9.26211216184483
RAB8B,9.25720873849368
TMBIM4,9.248589261018495
HIGD2A,9.248358628680236
ATP6V0E1,9.227121873957437
ZNF831,9.16051622262103
SF3B1,9.108322068288382
EID1,9.090660065513688
REX1BD,9.002570535197146
ATP5IF1,8.97583400987695
NSMCE3,8.9516280602794
PGK1,8.869911514736586
PARVG,8.867891745789933
SFXN1,8.852528033022947
PTGDR,8.844400041781993
UQCRB,8.827578486424411
MCUB,8.749820851816573
LAMTOR4,8.744559867143122
C5orf56,8.726737466301417
KAT2B,8.694374368088639
RHOF,8.647617627371368
LY9,8.640216615148683
ITGB7,8.616993228182272
ARPC5L,8.604730944640805
RNF125,8.580962958048467
COX8A,8.566322388309285
RPL15,8.557312514716616
GALM,8.553044908226312
PBXIP1,8.533019036452524
EVI2A,8.51126168754501
WNK1,8.458481152401436
RSBN1,8.437001375769995
TNFAIP8,8.427579994514966
NCOR1,8.38783680598805
ZNF800,8.386008250003913
TCIRG1,8.346840394795093
LINC00426,8.336422378176033
SNHG29,8.324879300787046
PPP1R35,8.320647415273932
CWF19L2,8.307134372641569
ATP2B4,8.277423814944257
NLRC3,8.267866345539552
RCAN3,8.254345671252258
