genes,logfoldchanges,pvals,pvals_adj
ARAP2,-1.8344401,1.4493200451431052e-12,1.0119454867345816e-10
GZMA,-1.4768633,1.4216478374072387e-12,9.956784023096482e-11
TMEM259,-1.7092468,1.364150241444015e-12,9.613246995587824e-11
BIRC3,-1.717943,1.2546395266071258e-12,8.868976678456957e-11
CDK17,-1.9335309,1.2364773456625186e-12,8.767818486595093e-11
CDV3,-1.088875,1.1381995020762983e-12,8.121535130489248e-11
OGT,-1.5044612,9.477969538441572e-13,6.805600714006531e-11
PBXIP1,-2.1202862,9.384737358083414e-13,6.759980751414388e-11
LRRFIP1,-1.0777315,6.295126121632863e-13,4.548878120019277e-11
TBC1D10C,-1.7202952,3.611279346251723e-13,2.6261961814498954e-11
RESF1,-1.1085286,3.2404875064767934e-13,2.3641018148213067e-11
SKAP1,-1.6248395,2.7332776113861877e-13,2.0134260514683625e-11
MZT2B,-1.1168692,2.6313259904638823e-13,1.9446182530824315e-11
RPS4Y1,-1.0553039,2.4283003678735195e-13,1.8004225724279172e-11
CYTIP,-1.1158953,2.1750141545233563e-13,1.617897783832047e-11
RSRP1,-1.2130848,1.853063144995747e-13,1.3874810298155655e-11
STAT3,-1.2037743,1.6853668080228845e-13,1.266083144693627e-11
EMB,-1.4467685,1.377340404730177e-13,1.0381133209426585e-11
RUNX3,-2.4022202,1.3753977703969058e-13,1.0381133209426585e-11
KLF13,-2.0108576,1.2907111081608525e-13,9.793055414652442e-12
ADGRE5,-1.4451319,1.2284060208336684e-13,9.351497607430087e-12
JAK3,-2.1611798,9.124045549578305e-14,7.016267729712884e-12
ANXA6,-1.7287228,7.566218897957493e-14,5.8380432052646935e-12
WIPF1,-1.198794,7.012610641236986e-14,5.429287191014839e-12
CAMK4,-3.314251,3.8630550092075066e-14,3.053154795818794e-12
GOLGA8B,-2.7438948,2.7539471311509407e-14,2.184158348406192e-12
GSTK1,-1.1650342,2.4122293907061573e-14,1.9198309577361385e-12
CD99,-1.0681217,1.8859343152745183e-14,1.506232873132582e-12
EIF4B,-1.386143,1.3332200647970728e-14,1.072323502293674e-12
CDC42SE2,-1.7063513,1.2913275104455214e-14,1.0423119430057078e-12
EMP3,-1.2031438,1.1625340220512797e-14,9.416939291790472e-13
LCK,-1.717402,8.129651286884838e-15,6.656371316261607e-13
SYTL3,-1.926725,7.496860279786724e-15,6.160416378646404e-13
CD96,-1.8068986,7.315847136977303e-15,6.033453352604252e-13
TRAF3IP3,-1.7377183,6.935709045323452e-15,5.740749428714633e-13
LINC01578,-1.1048236,6.304980355347616e-15,5.276248634133178e-13
STAT4,-2.0689745,5.639882695435748e-15,4.77230520124567e-13
TMC8,-2.1657932,5.094952583461603e-15,4.327287712863918e-13
HINT1,-1.1054097,4.583083558502284e-15,3.9071216463905993e-13
INPP4B,-2.7147257,3.1797508511429122e-15,2.731225995234527e-13
TC2N,-2.4628525,2.0993026188355134e-15,1.8168945326971088e-13
ARID4B,-1.3967931,1.245542550171154e-15,1.0862467251722532e-13
LINC-PINT,-2.0030787,1.2427014256825925e-15,1.0862467251722532e-13
PDE7A,-1.909268,1.0235480852683951e-15,9.030233146077212e-14
STK17A,-1.381355,9.901069708745418e-16,8.803443309002469e-14
ARID5B,-1.701726,9.169075808067631e-16,8.18456876640139e-14
TENT5C,-2.5670352,7.597713104169478e-16,6.808627782563215e-14
LCP1,-1.1146653,5.682418145983651e-16,5.112379519323315e-14
ICAM3,-1.9369469,4.915774158943184e-16,4.440192516105743e-14
ARGLU1,-1.1943998,3.972976359088067e-16,3.602903899823211e-14
RORA,-2.2640417,2.0599977251293146e-16,1.883119205598131e-14
LIME1,-2.0826921,1.809175990491994e-16,1.6605025764346274e-14
JAK1,-1.2613405,1.641699025752595e-16,1.5190387489504296e-14
FAM177A1,-1.7636149,9.241867168820937e-17,8.728770974966895e-15
CD7,-1.6077244,5.479901317421165e-17,5.263017459373019e-15
FNBP1,-1.410084,4.661457089096346e-17,4.4959358585597895e-15
