genes,logfoldchanges,pvals,pvals_adj
MS4A7,3.3881195,2.2040387365702965e-24,3.4128115457015705e-22
HLA-DQA1,1.6519698,2.8161616096673092e-24,4.331180443192384e-22
CD68,2.2585034,3.3500874784594544e-23,4.983966744097654e-21
MS4A6A,2.6259472,5.405002072791508e-23,7.937332721347117e-21
HSPH1,2.0019538,4.970960417075425e-22,6.735059584135167e-20
FCGR2A,2.7722201,2.76062764572236e-21,3.4909670262184645e-19
BTG2,1.3665601,3.688886775774256e-21,4.613540702756793e-19
RNASET2,1.4719622,1.5502688959501074e-20,1.8670487095035102e-18
ISG15,2.2129045,4.177298844683716e-20,4.952274807431809e-18
CX3CR1,3.4702928,8.861860650856947e-20,1.0397611965711641e-17
IGFBP7,3.6911187,1.9393783264576575e-19,2.2408187546613806e-17
FCGR1A,3.2950957,5.879877750483008e-19,6.592993958447991e-17
NR4A1,2.4958618,1.8611010667275507e-18,2.017256308612024e-16
MSR1,3.2576833,3.1943391978021826e-18,3.429695699074211e-16
FCGBP,2.174338,6.480753381236139e-18,6.766738920353073e-16
RAC1,1.4276661,6.916510276606923e-18,7.188749174252365e-16
CD83,2.4112551,7.742625175001201e-18,8.010801556062607e-16
ASAH1,2.1850529,1.4522437525373842e-17,1.4562102332711867e-15
KLF4,3.0670397,1.676656358796401e-17,1.6738619315317403e-15
VMP1,2.1659794,2.876933890562816e-17,2.810505116609048e-15
CH25H,2.539821,3.0677163691534726e-17,2.9840752134474936e-15
BHLHE41,3.7064452,7.349287772486579e-17,7.028760011652921e-15
HERPUD1,1.2903941,8.448549469192422e-17,8.046271255973134e-15
MEF2C,3.0217543,9.071799795223076e-17,8.603846122452819e-15
KLF2,1.0236852,1.2829379569239583e-16,1.201738015452804e-14
MEF2A,2.2994819,1.7630279928511649e-16,1.6246981041813043e-14
GRN,2.0043664,2.1588460817142568e-16,1.9655861804791963e-14
SPARC,4.177132,9.954146889937222e-16,8.816198113180975e-14
ID2,1.1234491,1.059313107035403e-15,9.30968530592272e-14
CSF1R,2.4627469,1.5298337086078701e-15,1.3290868273027611e-13
FOSB,1.1250817,2.2793146283299163e-15,1.9652181655320286e-13
YWHAH,1.4946177,3.6309687347425365e-15,3.1070718173011133e-13
HAMP,3.405813,5.810167467039285e-15,4.898186366101786e-13
IL1B,1.9959031,6.899805094056467e-15,5.73187458215012e-13
RGS2,1.7199794,1.543123010204436e-14,1.236780491488499e-12
MBP,1.2718526,3.9933078328258775e-14,3.1451789927606445e-12
KCTD12,2.743941,4.4137048795974686e-14,3.4643017403240547e-12
SPI1,2.1287525,4.531126437142655e-14,3.5442439849567392e-12
XAF1,2.6044202,6.552513356050134e-14,5.090385973051643e-12
VSIG4,3.3283982,1.095327780162712e-13,8.394562603388436e-12
CXCL8,4.194468,2.1253311649287628e-13,1.5861241959379836e-11
MX1,2.4371402,1.1243640436944024e-12,8.048042252381128e-11
BST2,1.4397575,1.1771141959646204e-12,8.372960415170841e-11
FGL2,2.344573,1.7698581144446471e-12,1.224483598814257e-10
AC007952.4,2.115747,3.0065565774332957e-12,2.0551123368029032e-10
TMEM176B,3.0884566,3.1881828282295456e-12,2.166251269736147e-10
NLRP3,2.0833325,3.815228778422713e-12,2.569296966108219e-10
CLDN5,5.6617856,4.6680359267524205e-12,3.115948204244534e-10
SERPING1,4.4862976,6.6518357906764346e-12,4.427166265127982e-10
LPCAT2,2.9737725,7.196680464945279e-12,4.775826260731325e-10
OLR1,3.079517,7.631285352974061e-12,5.005859285429267e-10
S100A9,2.2226586,8.942226295169908e-12,5.848935486513145e-10
LY6E,1.0413154,1.286628617269046e-11,8.272949318157635e-10
CTSS,1.4855003,2.3147249747541302e-11,1.4474662053668547e-09
LYZ,1.9646788,4.073637448979754e-11,2.5128492036226873e-09
C5AR1,2.8873355,4.141154640889164e-11,2.5475935658356525e-09
CDKN1A,1.7661319,4.2862534347789216e-11,2.6226801258719844e-09
