UMAP_1,UMAP_2,leiden,cell_type
-0.40618515,3.4619284,5,Plasma cells
10.610575,6.5206156,0,Plasma cells
8.277271,3.277543,4,Plasma cells
5.7833133,2.3065355,2,Plasma cells
8.09868,7.00162,0,Plasma cells
3.8331275,7.533751,1,Naive B cells
10.293619,5.4678984,0,Plasma cells
7.3103366,9.221534,6,Naive B cells
8.97001,6.163577,0,Plasma cells
9.881292,5.454865,0,Plasma cells
8.421195,6.2945466,0,Plasma cells
8.00535,3.2753785,4,Plasma cells
4.7555285,6.1197104,3,Plasma cells
8.661539,8.474346,0,Plasma cells
4.3377447,4.9956183,3,Plasma cells
6.519681,3.2893808,2,Plasma cells
3.7859795,2.5298045,2,Plasma cells
4.9305873,7.9158993,1,Naive B cells
3.5611436,2.8702269,2,Plasma cells
10.540025,5.39975,0,Plasma cells
6.105177,7.207025,1,Naive B cells
4.325744,3.3848174,3,Plasma cells
3.7911816,6.642737,3,Plasma cells
6.4986625,2.3783212,2,Plasma cells
6.571538,6.2672462,0,Plasma cells
4.937424,7.460366,1,Naive B cells
5.4200087,8.317181,1,Naive B cells
4.8645573,5.3772364,3,Plasma cells
9.741134,6.858607,0,Plasma cells
0.853659,3.2116098,5,Plasma cells
0.9879934,4.789715,5,Plasma cells
6.052317,7.946635,1,Naive B cells
4.737325,1.6129106,2,Plasma cells
5.7585883,8.570314,1,Naive B cells
4.6882477,9.002034,1,Naive B cells
4.351874,5.720372,3,Plasma cells
7.2344317,4.400022,4,Plasma cells
4.1339483,7.222988,1,Naive B cells
4.946104,4.9559093,3,Plasma cells
3.6294713,5.7565823,3,Plasma cells
9.298015,4.619765,0,Plasma cells
7.841044,2.9884167,4,Plasma cells
8.604927,6.59131,0,Plasma cells
6.771151,3.406709,4,Plasma cells
6.14202,3.2739234,2,Plasma cells
9.022269,5.658637,0,Plasma cells
4.602666,8.345497,1,Naive B cells
9.650924,5.533003,0,Plasma cells
3.9912193,5.705389,3,Plasma cells
8.703352,7.31882,0,Plasma cells
6.454794,9.019167,6,Naive B cells
7.778905,6.7581167,0,Plasma cells
9.749561,5.8490677,0,Plasma cells
9.34129,6.0077977,0,Plasma cells
5.7127924,3.2073176,2,Plasma cells
8.138223,6.5822134,0,Plasma cells
6.083561,2.7061925,2,Plasma cells
10.425523,5.574114,0,Plasma cells
1.166088,3.6100633,5,Plasma cells
4.0382943,8.562477,1,Naive B cells
4.3891683,5.3939166,3,Plasma cells
1.8204257,3.7464602,5,Plasma cells
8.703473,5.962319,0,Plasma cells
4.1594076,7.445371,1,Naive B cells
5.171146,8.570523,1,Naive B cells
7.4503756,9.221432,6,Naive B cells
8.008551,9.264698,6,Naive B cells
8.661223,8.111219,1,Naive B cells
3.9135358,2.4404192,2,Plasma cells
1.7266301,3.904907,5,Plasma cells
8.041666,9.008627,6,Naive B cells
4.58278,7.2089653,1,Naive B cells
7.79153,4.6181493,4,Plasma cells
