UMAP_1,UMAP_2,cell_type
-6.0658307,5.8959394,Classical monocytes
1.2596103,6.255527,Conventional dendritic cells
12.589612,4.4327803,T cells
-4.3470435,5.107783,Classical monocytes
-4.8634224,4.7081566,Classical monocytes
7.134272,11.154924,T cells
9.22743,10.403047,T cells
7.448742,9.457943,T cells
12.536777,5.07411,T cells
14.487357,9.210468,T cells
13.783625,5.0953307,T cells
8.281271,-2.2817388,Plasma cells
-2.4325593,9.754062,Non-classical monocytes
10.586793,11.198039,T cells
-5.258916,0.829538,Classical monocytes
11.404064,-0.58631915,Plasma cells
-4.3707314,7.8845825,Non-classical monocytes
-6.2518826,4.012664,Classical monocytes
9.846077,10.191712,T cells
11.884806,8.0060835,T cells
9.982585,10.156345,T cells
8.849591,-1.1938117,Plasma cells
11.499277,7.6030755,T cells
7.4880214,9.006418,T cells
-5.049298,7.989367,Classical monocytes
-2.3121212,11.492231,Non-classical monocytes
14.834345,9.632604,T cells
7.8521714,10.294475,T cells
13.352418,8.975065,T cells
-3.797505,1.6294346,Classical monocytes
9.410037,-0.45457947,Naive B cells
11.145841,10.315814,T cells
7.307792,9.726698,T cells
9.2007065,-2.114641,Naive B cells
-4.454149,5.4070716,Classical monocytes
7.4423113,10.764323,T cells
14.244351,9.333673,T cells
-2.1080773,11.7247925,Non-classical monocytes
14.666415,9.195092,T cells
-2.420653,6.272262,Classical monocytes
7.433743,9.807276,T cells
-3.3817158,2.01305,Classical monocytes
12.021138,6.3682036,T cells
-8.15329,4.20883,Intermediate monocytes
13.432453,5.2808075,T cells
13.053843,4.1593328,T cells
-5.8324857,2.6010652,Classical monocytes
6.926342,8.705836,T cells
-5.870107,1.781752,Classical monocytes
11.019877,9.59617,T cells
9.783976,10.630157,T cells
7.917084,8.661174,T cells
-2.407777,11.016902,Non-classical monocytes
-2.547531,4.7883015,Classical monocytes
-6.759093,1.7787496,Classical monocytes
13.95788,5.639736,T cells
6.748924,9.407154,T cells
12.895174,8.2881775,T cells
12.451323,3.7915776,T cells
13.924432,9.1715975,T cells
-3.816263,4.284599,Classical monocytes
9.304792,12.963234,T cells
10.745965,-2.440928,Plasma cells
-4.9656777,5.3763666,Granulocytes
-5.5727196,4.198935,Classical monocytes
-5.5471597,3.6646698,Classical monocytes
11.168033,0.55250263,Plasma cells
-4.172239,4.4460297,Classical monocytes
13.260704,4.050408,T cells
11.757807,11.4586115,T cells
-4.6346107,8.5516405,Non-classical monocytes
7.2490234,9.399188,T cells
12.851052,-0.44297063,Plasma cells
12.394892,6.569537,T cells
8.736689,7.0874333,T cells
7.665558,8.799416,T cells
12.027154,8.791024,T cells
10.844873,10.325321,T cells
-2.9826465,6.62986,Classical monocytes
-5.044209,5.127084,Classical monocytes
-6.251841,2.1987584,Classical monocytes
9.887885,12.846778,T cells
10.456875,8.548152,T cells
10.302483,9.47326,T cells
-6.057973,1.6271006,Classical monocytes
-4.7087684,1.7324766,Classical monocytes
-4.778291,4.1238728,Classical monocytes
6.274837,10.653693,T cells
-6.69293,4.433037,Intermediate monocytes
-4.8623347,6.1907396,Classical monocytes
10.745928,9.557103,T cells
10.066751,8.130232,T cells
7.776045,9.414708,T cells
9.368257,-0.26558623,Plasma cells
-5.3110423,4.199587,Classical monocytes
9.038305,10.059854,T cells
7.066712,10.135382,T cells
-7.912611,5.5447197,Intermediate monocytes
6.200353,10.268608,T cells
-3.6398377,1.6599187,Classical monocytes
10.541247,1.3342477,Plasma cells
7.7829328,9.320852,T cells
13.469952,9.2225685,T cells
0.66338974,6.569101,Conventional dendritic cells
6.2189355,10.623492,T cells
11.670444,10.473039,T cells
-5.8689203,5.0023036,Classical monocytes
9.400534,-0.7542037,Plasma cells
9.492445,11.888238,T cells
-4.8075757,1.2372935,Classical monocytes
8.229275,11.686847,T cells
-5.1329904,3.302855,Classical monocytes
-4.9065948,5.1144366,Classical monocytes
11.758135,7.3740864,T cells
6.8003445,10.610004,T cells
8.238451,10.419398,T cells
8.376078,9.591296,T cells
-5.9675813,3.3050275,Classical monocytes
14.306534,9.011286,T cells
8.168034,-2.04706,Plasma cells
9.497751,11.416788,T cells
-7.909128,3.8833036,Intermediate monocytes
8.185695,7.16672,T cells
12.0464945,6.158708,T cells
8.111207,9.275803,T cells
-4.1481504,2.62004,Classical monocytes
14.779278,9.400931,T cells
8.517358,10.298686,T cells
11.258103,8.810251,T cells
11.560888,11.207201,T cells
-4.710093,5.214879,Classical monocytes
-1.6138738,11.436098,Non-classical monocytes
8.83675,-0.453032,Plasma cells
-3.6865804,4.1565485,Classical monocytes
-4.0752125,4.117932,Classical monocytes
-4.5556154,5.3706837,Classical monocytes
8.003171,10.028135,T cells
13.478143,8.900089,T cells
-6.7076945,3.3859823,Classical monocytes
9.877413,13.298671,T cells
6.995708,8.739415,T cells
13.9427,5.607264,T cells
8.942138,-0.33776206,Plasma cells
12.190213,6.2507067,T cells
-4.7621274,6.941928,Classical monocytes
6.7791815,9.471745,T cells
7.8759556,9.984127,T cells
10.881904,10.641344,T cells
6.9075217,9.480246,T cells
-4.8398438,4.951211,Classical monocytes
-4.4963026,5.249356,Classical monocytes
-4.5959826,2.4887714,Classical monocytes
-3.7213287,3.1859667,Classical monocytes
14.030307,5.5757885,T cells
1.0501252,6.4283395,Conventional dendritic cells
-6.636187,2.6312304,Classical monocytes
-5.7851925,0.8099377,Classical monocytes
13.8200035,8.871999,T cells
12.223795,-0.39188626,Plasma cells
-3.3933914,2.0940797,Classical monocytes
8.060187,-2.7596042,Naive B cells
-5.062827,4.781385,Classical monocytes
10.066703,10.065672,T cells
-3.3420308,9.930819,Non-classical monocytes
12.176713,-0.9073578,Plasma cells
15.0265045,9.517993,T cells
10.374487,-1.79436,Plasma cells
-6.5095544,2.874818,Classical monocytes
-3.3530617,3.7111537,Classical monocytes
-1.7527503,11.047709,Non-classical monocytes
12.2656,8.922616,T cells
10.028277,11.166467,T cells
-5.799974,7.8517404,Classical monocytes
6.0420613,9.716004,T cells
10.415634,10.623815,T cells
13.239672,4.5575542,T cells
10.835324,7.9927425,T cells
-5.4057584,1.7807834,Classical monocytes
13.901452,9.258973,T cells
12.634645,5.8223653,T cells
-4.950215,5.5433836,Classical monocytes
9.099809,12.500705,T cells
-7.751136,5.5955415,Intermediate monocytes
8.038863,-2.0702126,Naive B cells
-2.3347945,10.666957,Non-classical monocytes
-3.128531,10.1741905,Non-classical monocytes
-4.479346,1.0336261,Classical monocytes
9.680086,13.410425,T cells
11.528679,7.7003226,T cells
-2.506854,11.238351,Non-classical monocytes
