UMAP_1,UMAP_2,leiden,patient_name
6.6540766,14.851518,17,p1_pre
5.4306536,7.4656324,11,p1_pre
12.374841,4.9573016,13,p1_pre
2.1331778,9.911126,9,p1_pre
12.415468,4.614304,13,p1_pre
13.786771,3.1902225,13,p1_pre
1.8303152,8.684937,9,p1_pre
11.388178,2.8050983,13,p1_pre
-2.1961474,9.244633,7,p1_pre
6.7199144,7.7617245,23,p1_pre
-3.397178,9.111063,7,p1_pre
11.0226755,4.6932592,13,p1_pre
11.716615,2.593025,13,p1_pre
-0.7375991,-0.62682027,1,p1_pre
11.256067,2.7485197,13,p1_pre
6.704283,5.943344,4,p1_pre
-0.833669,-0.89028835,1,p1_pre
6.3297625,14.839416,17,p1_pre
7.910271,13.116402,17,p1_pre
7.5162873,5.0415783,15,p1_pre
6.019839,14.298299,17,p1_pre
7.239383,5.2444463,15,p1_pre
4.3533015,5.613777,4,p1_pre
6.2928014,14.832282,17,p1_pre
2.871772,9.258868,9,p1_pre
5.473877,7.466072,11,p1_pre
5.9681,5.7453485,4,p1_pre
11.409998,2.786084,13,p1_pre
0.73823386,9.125303,9,p1_pre
12.735569,3.466136,13,p1_pre
7.2547536,7.7003675,23,p1_pre
-5.1457367,9.475569,7,p1_pre
12.866625,4.58904,13,p1_pre
2.0562568,8.9171505,9,p1_pre
6.9718394,6.1518874,4,p1_pre
13.871879,3.1017127,13,p1_pre
13.657606,3.2651625,13,p1_pre
6.491376,14.72707,17,p1_pre
11.455626,2.797475,13,p1_pre
1.6278005,8.916244,9,p1_pre
7.096634,4.8110747,15,p1_pre
5.942331,5.308651,4,p1_pre
5.494411,8.007858,11,p1_pre
4.402769,6.373299,4,p1_pre
7.102334,7.23069,23,p1_pre
6.5034814,14.388435,17,p1_pre
5.9729943,5.7947316,4,p1_pre
11.084933,4.896378,13,p1_pre
5.9413276,14.194539,17,p1_pre
6.873054,7.6751304,23,p1_pre
11.275189,2.6584234,13,p1_pre
5.6414447,7.6471267,11,p1_pre
1.9426225,10.073587,9,p1_pre
-0.49919188,-2.3516712,1,p1_pre
12.104634,3.3127537,13,p1_pre
7.679815,5.128884,15,p1_pre
7.1125293,7.2593746,23,p1_pre
-2.032902,-2.219387,14,p1_pre
7.0214114,5.720182,4,p1_pre
4.3220224,6.3156714,4,p1_pre
12.590412,4.713426,13,p1_pre
12.485295,4.564859,13,p1_pre
-1.7868806,6.7836065,2,p1_pre
6.7576575,6.0357237,4,p1_pre
-3.8094594,7.3970566,8,p1_pre
2.284749,9.852224,9,p1_pre
6.4781723,5.7743964,4,p1_pre
6.78737,7.2734385,23,p1_pre
-4.9607944,4.372757,18,p1_pre
7.754636,13.576404,17,p1_pre
-4.5342846,9.125654,7,p1_pre
4.327067,6.0181155,4,p1_pre
7.1206927,4.9557204,15,p1_pre
5.4663296,7.853105,11,p1_pre
3.2770352,-3.458648,5,p1_pre
1.8985791,7.8541236,9,p1_pre
11.305391,2.8529944,13,p1_pre
6.809864,4.9034605,15,p1_pre
7.7059937,5.2970123,15,p1_pre
2.9304008,-2.354893,5,p1_pre
12.528026,4.562263,13,p1_pre
6.4552884,14.8397045,17,p1_pre
5.365661,7.231908,11,p1_pre
11.6571455,2.8962402,13,p1_pre
6.3521514,14.517218,17,p1_pre
7.4461246,5.167831,15,p1_pre
6.2888613,14.258374,17,p1_pre
13.829692,3.201024,13,p1_pre
12.501737,4.419045,13,p1_pre
4.588474,6.373903,4,p1_pre
5.4799376,7.6481905,11,p1_pre
6.1557097,14.489984,17,p1_pre
4.683208,5.8079357,4,p1_pre
6.2394214,14.589879,17,p1_pre
7.862701,13.037892,17,p1_pre
11.233674,4.4728622,13,p1_pre
13.880919,3.141516,13,p1_pre
2.5066252,9.318759,9,p1_pre
7.062064,7.267632,23,p1_pre
6.6136875,14.760641,17,p1_pre
6.220934,5.6912756,15,p1_pre
11.713116,2.550214,13,p1_pre
11.151205,4.650803,13,p1_pre
1.678767,9.690367,9,p1_pre
2.7350447,9.860013,9,p1_pre
11.428533,2.6279,13,p1_pre
7.009071,7.253495,23,p1_pre
-1.224787,6.933934,2,p1_pre
2.8164508,9.81489,9,p1_pre
7.7969246,5.1906905,15,p1_pre
6.9916215,6.030741,4,p1_pre
5.868295,14.373384,17,p1_pre
-0.8032906,-2.7679203,1,p1_pre
6.4858093,6.9029136,23,p1_pre
11.45847,2.6947436,13,p1_pre
13.611197,3.1881647,13,p1_pre
3.9145544,6.0358386,4,p1_pre
6.301033,14.739846,17,p1_pre
7.716761,13.7411785,17,p1_pre
7.4303665,5.2926,15,p1_pre
7.607954,13.930568,17,p1_pre
-0.9133401,-2.4591596,1,p1_pre
1.1950372,-5.7647533,3,p1_pre
0.845554,-3.9443944,1,p1_pre
5.524463,8.355502,11,p1_pre
7.4946017,5.1193867,15,p1_pre
