UMAP_1,UMAP_2,leiden,cell_type
6.7950277,0.73468435,6,T cells
-5.9135537,1.547186,3,T cells
11.260384,0.96070945,0,T cells
6.6170464,5.865948,5,T cells
-5.6793475,1.7768276,3,T cells
9.028675,2.4018412,0,T cells
11.142425,1.5434942,0,T cells
4.9139233,7.3773327,5,T cells
10.152933,7.199484,4,T cells
12.338432,5.0640817,1,T cells
4.5879135,6.1756134,5,T cells
10.80442,4.5700603,1,T cells
7.326302,0.6335498,6,T cells
9.639576,0.4655393,0,T cells
9.951462,0.6005161,0,T cells
11.104173,4.5962224,1,T cells
10.467847,3.5382707,0,T cells
8.984078,2.271819,0,T cells
4.97304,5.9767556,5,T cells
7.2844424,9.92464,2,T cells
7.2909665,0.039750863,6,T cells
9.175156,5.254997,4,T cells
11.10479,7.5742793,1,T cells
12.389122,5.699419,1,T cells
10.010767,1.5881382,0,T cells
-4.515597,2.4122655,3,T cells
9.739508,5.766384,4,T cells
10.599075,0.78827363,0,T cells
10.405714,3.1164691,0,T cells
7.397726,0.7831134,6,T cells
-5.407315,2.3268907,3,T cells
11.88884,6.104868,1,T cells
12.43763,7.4446926,1,T cells
8.405224,7.7760935,2,T cells
10.547383,6.4279447,4,T cells
8.690381,9.616905,2,T cells
11.69295,7.568345,1,T cells
6.834446,7.968303,5,T cells
10.130984,6.902786,4,T cells
-5.6493955,1.6574336,3,T cells
9.938544,6.546727,4,T cells
10.75841,4.921919,1,T cells
11.059404,1.9613348,0,T cells
11.684225,2.3038301,0,T cells
5.7758584,6.5571322,5,T cells
7.9574857,9.240228,2,T cells
7.837758,1.2591512,6,T cells
-6.315893,1.7326806,3,T cells
9.570425,2.1666384,0,T cells
9.661486,0.08001133,0,T cells
10.283896,4.162579,1,T cells
5.3900657,6.2035923,5,T cells
8.567181,3.441612,6,T cells
8.112489,9.568068,2,T cells
11.231591,7.2828317,1,T cells
8.881088,0.94492644,0,T cells
11.86582,4.504976,1,T cells
9.807612,5.746322,4,T cells
6.745992,8.222428,5,T cells
11.231208,4.6668115,1,T cells
13.470006,6.018898,7,T cells
5.3630657,6.213913,5,T cells
-5.3294735,2.7207625,3,T cells
12.382582,6.9460793,1,T cells
8.388522,10.274711,2,T cells
-3.632452,2.1264951,3,T cells
6.1041784,6.3863378,5,T cells
10.807954,1.0148643,0,T cells
11.078013,4.2405043,1,T cells
10.225172,5.980767,4,T cells
7.1539097,9.395358,2,T cells
9.094463,2.5842378,0,T cells
10.825654,2.788428,0,T cells
10.276605,1.6478331,0,T cells
-6.123061,3.2598991,3,T cells
-6.2438197,2.5291958,3,T cells
7.1786547,0.6508946,6,T cells
8.68288,9.415217,2,T cells
10.010954,0.78052545,0,T cells
9.974968,2.371362,0,T cells
7.1860323,0.712787,6,T cells
9.595762,4.0271583,4,T cells
11.317396,0.7795195,0,T cells
10.806514,0.42916766,0,T cells
8.117234,2.1352315,6,T cells
11.0703535,2.350104,0,T cells
8.660779,7.737316,2,T cells
10.586374,0.81674147,0,T cells
11.277433,2.5757422,0,T cells
11.86367,1.6120902,0,T cells
-3.9273016,1.1461604,3,T cells
11.027675,0.36087242,0,T cells
10.597603,0.37034404,0,T cells
6.860805,9.223411,2,T cells
7.2090974,8.3157215,2,T cells
7.146349,10.2367115,2,T cells
6.6796393,9.527064,2,T cells
8.869358,1.5914475,0,T cells
10.508947,4.1138887,1,T cells
9.977549,6.1469555,4,T cells
8.631683,9.583246,2,T cells
10.735346,1.1756595,0,T cells
12.01958,5.25121,1,T cells
11.730891,5.317502,1,T cells
6.79456,1.5233301,6,T cells
7.2926655,1.6137552,6,T cells
-3.8467002,1.8663266,3,T cells
8.7635565,1.7806786,0,T cells
10.460215,7.496951,4,T cells
5.771493,5.5863047,5,T cells
7.1374803,10.24899,2,T cells
7.876441,8.41533,2,T cells
8.340293,4.8457246,4,T cells
9.476565,6.0473833,4,T cells
12.156247,2.4686975,0,T cells
12.435867,4.6563516,1,T cells
9.663028,5.7733493,4,T cells
-4.400112,1.7304392,3,T cells
-5.6921954,2.6193175,3,T cells
-5.7306485,2.1921494,3,T cells
7.725585,9.152752,2,T cells
4.8633814,5.903421,5,T cells
-3.111665,1.5969844,3,T cells
8.770656,5.72401,4,T cells
6.3410726,6.007033,5,T cells
11.620085,6.582322,1,T cells
6.7486944,9.025034,2,T cells
10.287367,1.6370909,0,T cells
5.939744,6.852469,5,T cells
11.753121,7.2426543,1,T cells
7.921646,9.879673,2,T cells
-5.522254,3.0137646,3,T cells
-4.1096945,3.0317621,3,T cells
10.603946,1.8023965,0,T cells
-3.8664556,1.6520076,3,T cells
9.361526,6.2025523,4,T cells
14.21366,5.880597,7,T cells
10.169988,3.745391,1,T cells
8.371135,4.44568,4,T cells
11.404607,4.706879,1,T cells
-5.7986674,1.554579,3,T cells
7.885949,9.348264,2,T cells
7.614691,10.279684,2,T cells
9.831607,7.021587,4,T cells
7.2585855,9.600242,2,T cells
12.048895,5.7077436,1,T cells
-5.7984953,2.2402062,3,T cells
4.950739,6.019104,5,T cells
10.635344,2.9352942,0,T cells
7.928228,1.1847199,6,T cells
10.974936,0.7159584,0,T cells
10.236754,0.075747535,0,T cells
7.5148263,1.4479774,6,T cells
-6.1990743,2.7201018,3,T cells
8.667224,6.0768986,4,T cells
11.900342,4.8916426,1,T cells
9.087104,1.2666724,0,T cells
11.358717,1.5187242,0,T cells
11.174168,0.79242027,0,T cells
6.716175,9.542913,2,T cells
6.98225,9.759726,2,T cells
10.9015255,2.327933,0,T cells
12.272729,6.6001353,1,T cells
7.3744545,0.9411849,6,T cells
7.4285293,7.472002,5,T cells
5.519601,5.9686275,5,T cells
12.1877,7.240556,1,T cells
8.733645,1.5463153,0,T cells
7.423254,0.44521534,6,T cells
9.514628,7.0155296,4,T cells
8.485821,8.992529,2,T cells
12.103527,2.9459798,0,T cells
8.324822,5.005849,4,T cells
6.7121086,8.83243,2,T cells
14.022551,5.8707156,7,T cells
12.916286,7.153326,1,T cells
8.984878,0.44265044,0,T cells
8.411761,9.0071,2,T cells
6.9825673,6.571036,4,T cells
-6.1423297,2.9990306,3,T cells
9.512299,1.9372972,0,T cells
10.145479,5.5583735,4,T cells
8.569296,9.144383,2,T cells
8.012565,10.502695,2,T cells
12.385562,4.5978465,1,T cells
7.3469505,9.554765,2,T cells
10.87147,3.010922,0,T cells
