UMAP_1,UMAP_2,leiden,cell_type
11.884806,8.0060835,12,Unknown
9.982585,10.156345,1,Unknown
8.849591,-1.1938117,2,Unknown
11.499277,7.6030755,12,Unknown
7.4880214,9.006418,0,Unknown
-5.049298,7.989367,4,Unknown
-2.3121212,11.492231,14,Unknown
14.834345,9.632604,3,Unknown
7.8521714,10.294475,0,Unknown
13.352418,8.975065,3,Unknown
-3.797505,1.6294346,5,Unknown
9.410037,-0.45457947,2,Unknown
11.145841,10.315814,1,Unknown
7.307792,9.726698,0,Unknown
9.2007065,-2.114641,2,Unknown
-4.454149,5.4070716,7,Unknown
7.4423113,10.764323,0,Unknown
14.244351,9.333673,3,Unknown
-2.1080773,11.7247925,14,Unknown
14.666415,9.195092,3,Unknown
-2.420653,6.272262,15,Unknown
7.433743,9.807276,0,Unknown
-3.3817158,2.01305,5,Unknown
12.021138,6.3682036,12,Unknown
-8.15329,4.20883,16,Unknown
13.432453,5.2808075,6,Unknown
13.053843,4.1593328,6,Unknown
-5.8324857,2.6010652,9,Unknown
6.926342,8.705836,0,Unknown
-5.870107,1.781752,5,Unknown
11.019877,9.59617,1,Unknown
9.783976,10.630157,1,Unknown
7.917084,8.661174,0,Unknown
-2.407777,11.016902,14,Unknown
-2.547531,4.7883015,15,Unknown
-6.759093,1.7787496,9,Unknown
13.95788,5.639736,6,Unknown
6.748924,9.407154,0,Unknown
12.895174,8.2881775,3,Unknown
12.451323,3.7915776,6,Unknown
13.924432,9.1715975,3,Unknown
-3.816263,4.284599,7,Unknown
9.304792,12.963234,17,Unknown
10.745965,-2.440928,10,Unknown
-4.9656777,5.3763666,19,Unknown
-5.5727196,4.198935,8,Unknown
-5.5471597,3.6646698,9,Unknown
11.168033,0.55250263,18,Unknown
-4.172239,4.4460297,7,Unknown
13.260704,4.050408,6,Unknown
11.757807,11.4586115,11,Unknown
-4.6346107,8.5516405,4,Unknown
7.2490234,9.399188,0,Unknown
12.851052,-0.44297063,10,Unknown
12.394892,6.569537,12,Unknown
8.736689,7.0874333,13,Unknown
7.665558,8.799416,0,Unknown
12.027154,8.791024,3,Unknown
10.844873,10.325321,1,Unknown
-2.9826465,6.62986,15,Unknown
-5.044209,5.127084,4,Unknown
-6.251841,2.1987584,9,Unknown
9.887885,12.846778,17,Unknown
10.456875,8.548152,12,Unknown
10.302483,9.47326,1,Unknown
-6.057973,1.6271006,5,Unknown
-4.7087684,1.7324766,5,Unknown
-4.778291,4.1238728,7,Unknown
6.274837,10.653693,0,Unknown
-6.69293,4.433037,15,Unknown
-4.8623347,6.1907396,4,Unknown
10.745928,9.557103,1,Unknown
10.066751,8.130232,12,Unknown
7.776045,9.414708,0,Unknown
9.368257,-0.26558623,2,Unknown
-5.3110423,4.199587,8,Unknown
9.038305,10.059854,1,Unknown
7.066712,10.135382,0,Unknown
-7.912611,5.5447197,16,Unknown
6.200353,10.268608,0,Unknown
-3.6398377,1.6599187,5,Unknown
10.541247,1.3342477,18,Unknown
7.7829328,9.320852,0,Unknown
13.469952,9.2225685,3,Unknown
0.66338974,6.569101,20,Unknown
6.2189355,10.623492,0,Unknown
11.670444,10.473039,11,Unknown
-5.8689203,5.0023036,8,Unknown
9.400534,-0.7542037,2,Unknown
9.492445,11.888238,1,Unknown
-4.8075757,1.2372935,5,Unknown
8.229275,11.686847,1,Unknown
-5.1329904,3.302855,7,Unknown
-4.9065948,5.1144366,8,Unknown
11.758135,7.3740864,12,Unknown
6.8003445,10.610004,0,Unknown
8.238451,10.419398,1,Unknown
8.376078,9.591296,0,Unknown
-5.9675813,3.3050275,9,Unknown
14.306534,9.011286,3,Unknown
8.168034,-2.04706,2,Unknown
9.497751,11.416788,1,Unknown
-7.909128,3.8833036,16,Unknown
8.185695,7.16672,13,Unknown
12.0464945,6.158708,12,Unknown
8.111207,9.275803,0,Unknown
-4.1481504,2.62004,5,Unknown
14.779278,9.400931,3,Unknown
8.517358,10.298686,1,Unknown
11.258103,8.810251,12,Unknown
11.560888,11.207201,11,Unknown
-4.710093,5.214879,8,Unknown
-1.6138738,11.436098,14,Unknown
8.83675,-0.453032,2,Unknown
-3.6865804,4.1565485,7,Unknown
-4.0752125,4.117932,7,Unknown
-4.5556154,5.3706837,4,Unknown
8.003171,10.028135,0,Unknown
13.478143,8.900089,3,Unknown
-6.7076945,3.3859823,9,Unknown
9.877413,13.298671,17,Unknown
6.995708,8.739415,0,Unknown
13.9427,5.607264,6,Unknown
8.942138,-0.33776206,2,Unknown
12.190213,6.2507067,12,Unknown
-4.7621274,6.941928,4,Unknown
6.7791815,9.471745,0,Unknown
7.8759556,9.984127,0,Unknown
10.881904,10.641344,1,Unknown
6.9075217,9.480246,0,Unknown
-4.8398438,4.951211,8,Unknown
-4.4963026,5.249356,7,Unknown
-4.5959826,2.4887714,7,Unknown
-3.7213287,3.1859667,7,Unknown
14.030307,5.5757885,6,Unknown
1.0501252,6.4283395,20,Unknown
-6.636187,2.6312304,9,Unknown
-5.7851925,0.8099377,5,Unknown
13.8200035,8.871999,3,Unknown
12.223795,-0.39188626,10,Unknown
-3.3933914,2.0940797,5,Unknown
8.060187,-2.7596042,2,Unknown
-5.062827,4.781385,8,Unknown
10.066703,10.065672,1,Unknown
-3.3420308,9.930819,14,Unknown
12.176713,-0.9073578,10,Unknown
15.0265045,9.517993,3,Unknown
10.374487,-1.79436,10,Unknown
-6.5095544,2.874818,9,Unknown
-3.3530617,3.7111537,15,Unknown
-1.7527503,11.047709,14,Unknown
12.2656,8.922616,3,Unknown
10.028277,11.166467,1,Unknown
-5.799974,7.8517404,4,Unknown
6.0420613,9.716004,0,Unknown
10.415634,10.623815,1,Unknown
13.239672,4.5575542,6,Unknown
10.835324,7.9927425,12,Unknown
-5.4057584,1.7807834,5,Unknown
13.901452,9.258973,3,Unknown
12.634645,5.8223653,6,Unknown
-4.950215,5.5433836,8,Unknown
9.099809,12.500705,17,Unknown
-7.751136,5.5955415,16,Unknown
8.038863,-2.0702126,2,Unknown
-2.3347945,10.666957,14,Unknown
-3.128531,10.1741905,14,Unknown
-4.479346,1.0336261,5,Unknown
9.680086,13.410425,17,Unknown
11.528679,7.7003226,12,Unknown
-2.506854,11.238351,14,Unknown
-5.709528,6.553527,4,Unknown
13.827442,5.1395645,6,Unknown
12.67511,4.1116805,6,Unknown
9.961746,13.44765,17,Unknown
-4.9712663,2.5971508,7,Unknown
6.3431726,9.36575,0,Unknown
8.587559,-0.4645145,2,Unknown
-5.6773515,4.9133697,8,Unknown
0.31252673,6.5511446,20,Unknown
7.0663047,9.802081,0,Unknown
9.681256,10.941423,1,Unknown
14.12581,9.703113,3,Unknown
-6.1432085,3.363489,9,Unknown
-4.87944,5.505982,8,Unknown
8.84032,-1.1355093,2,Unknown
13.793124,4.367262,6,Unknown
12.842527,-0.49165255,10,Unknown
9.204213,-1.4998541,2,Unknown
7.5976033,10.641429,0,Unknown
-5.157098,7.672293,4,Unknown
11.826977,-0.12649453,10,Unknown
9.913332,10.538837,1,Unknown
12.844972,7.961405,3,Unknown
11.907493,-0.39655384,10,Unknown
12.634797,-0.9506201,10,Unknown
-7.9226427,5.4085107,16,Unknown
10.693227,10.7136755,1,Unknown
13.088474,3.456373,6,Unknown
10.68779,0.37070334,18,Unknown
13.476158,4.693016,6,Unknown
9.455872,11.700161,1,Unknown
8.31938,7.1557956,13,Unknown
11.733877,8.553627,12,Unknown
-3.1045678,10.585302,14,Unknown
7.9917736,10.787413,0,Unknown
-4.2958198,0.9551641,5,Unknown
-5.366744,4.427889,8,Unknown
8.22402,10.900087,0,Unknown
8.073293,10.2628145,0,Unknown
-4.4040484,1.4204658,5,Unknown
8.844819,10.682262,1,Unknown
-5.107274,6.903532,4,Unknown
-5.0365233,7.582064,4,Unknown
10.577043,-1.5988746,19,Unknown
14.761081,9.3668375,3,Unknown
12.904434,8.188822,3,Unknown
-5.407807,3.363398,9,Unknown
8.749191,7.2151847,13,Unknown
-4.7054286,6.4299808,4,Unknown
9.565785,13.329757,17,Unknown
-3.7365792,6.1681876,4,Unknown
-4.0939407,3.392903,7,Unknown
8.987416,-1.8477049,2,Unknown
12.420165,3.7603388,6,Unknown
7.66417,9.589741,0,Unknown
9.662127,11.168605,1,Unknown
12.830632,3.7487009,6,Unknown
9.944855,11.254304,1,Unknown
8.078175,-0.34874007,2,Unknown
9.032023,10.3388405,1,Unknown
-5.433082,6.0714445,4,Unknown
8.685598,-1.1090893,2,Unknown
-2.8617716,9.446716,14,Unknown
-3.4173934,1.3487277,5,Unknown
4.702505,3.534898,21,Unknown
7.460608,11.073572,0,Unknown
12.507938,7.8996224,3,Unknown
8.899301,10.116125,1,Unknown
7.9126234,-1.523967,2,Unknown
-2.0797648,11.861717,14,Unknown
13.653337,9.235741,3,Unknown
11.485326,10.679977,11,Unknown
10.513041,10.272974,1,Unknown
-6.2930136,2.9223213,9,Unknown
13.389173,5.10755,6,Unknown
10.474054,11.134172,1,Unknown
9.111687,-1.5543942,2,Unknown
12.813571,-0.5736529,10,Unknown
10.060018,-1.8666812,10,Unknown
9.164743,11.228897,1,Unknown
8.360953,7.372503,13,Unknown
7.599232,10.904619,0,Unknown
-4.424677,1.5696515,5,Unknown
9.003005,6.6542487,13,Unknown
8.128794,-0.56366545,2,Unknown
13.444874,8.384196,3,Unknown
12.256049,7.1420717,12,Unknown
-6.307708,3.449757,9,Unknown
11.862583,-0.5227864,10,Unknown
-5.5973825,1.1937939,5,Unknown
-4.422015,4.259437,7,Unknown
-4.1596622,5.546798,4,Unknown
7.120439,10.0666,0,Unknown
8.951372,-1.9861544,2,Unknown
-5.028243,2.5470846,5,Unknown
-6.040547,6.106604,8,Unknown
11.045287,-2.4151413,10,Unknown
6.1487064,9.798529,0,Unknown
11.178188,12.274309,11,Unknown
-4.960587,1.7026002,5,Unknown
-5.3636417,1.6664891,5,Unknown
-4.8899407,1.3894893,5,Unknown
7.146969,8.919856,0,Unknown
9.2425995,-0.8889725,2,Unknown
7.5513244,10.439871,0,Unknown
9.9438,-1.731637,2,Unknown
9.917807,10.807331,1,Unknown
12.886544,-0.3927455,10,Unknown
13.174737,3.8822184,6,Unknown
12.43129,3.7308648,6,Unknown
-5.325485,5.11013,8,Unknown
12.847369,3.1525385,6,Unknown
-5.07468,1.9779593,5,Unknown
13.761205,9.116924,3,Unknown
1.1339542,6.404377,20,Unknown
8.767751,11.08033,1,Unknown
5.954955,9.790002,0,Unknown
-6.4113207,3.814199,9,Unknown
-4.602945,2.4400294,7,Unknown
11.9991665,-0.2589825,10,Unknown
7.8754616,7.0036645,13,Unknown
4.7165775,3.755088,21,Unknown
8.022997,9.151747,0,Unknown
-5.0593076,5.761265,8,Unknown
8.178769,-1.0241624,2,Unknown
13.487829,9.09682,3,Unknown
9.424203,11.174741,1,Unknown
-7.226213,6.1678243,16,Unknown
-4.4219003,5.1661267,4,Unknown
8.081572,10.8509,1,Unknown
8.614333,11.530969,1,Unknown
8.916186,-1.9899981,2,Unknown
8.503388,-2.5913374,2,Unknown
9.100412,7.4426317,13,Unknown
9.148542,10.158561,1,Unknown
-3.8446774,4.7763486,7,Unknown
10.630685,11.637417,1,Unknown
12.503919,3.4320703,6,Unknown
12.285403,3.6404088,6,Unknown
8.773849,-0.5306611,2,Unknown
10.976413,10.647981,11,Unknown
10.596686,-1.477015,10,Unknown
-5.2962327,7.469247,4,Unknown
12.630831,3.6547472,6,Unknown
8.570146,-1.4027225,2,Unknown
12.685202,3.317229,6,Unknown
7.3827324,10.016338,0,Unknown
10.464514,10.361345,1,Unknown
14.349027,9.846623,3,Unknown
-3.077903,10.082971,14,Unknown
14.473165,9.777275,3,Unknown
8.484494,-0.07281637,2,Unknown
10.791232,-2.0779471,10,Unknown
13.43382,9.1892395,3,Unknown
-4.4876046,3.8332179,7,Unknown
8.536889,-1.7210559,2,Unknown
-8.16723,4.6939306,16,Unknown
9.795746,-1.2489558,2,Unknown
10.491412,8.279569,12,Unknown
7.6771083,9.016031,0,Unknown
8.840494,-0.5310168,2,Unknown
-3.4347308,2.713393,7,Unknown
-5.223471,1.0292728,5,Unknown
-5.0910583,4.84738,4,Unknown
9.752875,9.343945,12,Unknown
14.714956,9.073195,3,Unknown
7.445659,8.434714,0,Unknown
10.368794,10.784711,1,Unknown
-7.931334,4.126632,16,Unknown
-4.6540422,4.0412445,7,Unknown
8.718051,-0.9843477,2,Unknown
9.389553,10.36972,1,Unknown
11.287796,12.564294,11,Unknown
12.369261,-0.7541651,10,Unknown
-4.922339,0.41605735,5,Unknown
10.642544,0.9393522,18,Unknown
6.623174,9.510751,0,Unknown
9.967361,11.233495,1,Unknown
-5.542097,5.2835765,8,Unknown
-4.2801094,1.8503985,5,Unknown
12.504702,-0.39866897,10,Unknown
-3.0543535,4.422876,15,Unknown
-4.185466,4.0964856,7,Unknown
10.794801,9.964308,1,Unknown
-2.2762365,11.214891,14,Unknown
11.170082,9.842006,1,Unknown
12.864545,3.9657326,6,Unknown
14.1493225,4.9401546,6,Unknown
-4.6882973,4.024319,8,Unknown
-5.4568152,7.5776267,4,Unknown
7.5925474,9.42703,0,Unknown
12.209825,-1.0377405,10,Unknown
9.416433,9.80228,1,Unknown
10.976078,10.585648,1,Unknown
-4.7665176,3.6797068,7,Unknown
8.335979,-3.1019828,2,Unknown
-4.186151,4.89934,7,Unknown
-6.4519053,4.2519555,9,Unknown
9.940496,10.3742075,1,Unknown
13.195383,8.406664,3,Unknown
9.661963,10.502173,1,Unknown
9.671577,12.2902155,17,Unknown
6.979154,8.3206835,0,Unknown
