leiden,gene,expression
3,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
1,CD3D,0.0
11,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
4,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
7,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
6,CD3D,0.0
1,CD3D,0.0
6,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
1,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
4,CD3D,1.8712665
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
2,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
6,CD3D,0.0
9,CD3D,0.0
1,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
6,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
7,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
11,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
6,CD3D,0.0
13,CD3D,0.0
0,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
16,CD3D,0.0
2,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
6,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
11,CD3D,1.9086274
1,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
7,CD3D,0.0
3,CD3D,0.0
6,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
1,CD3D,2.2643023
9,CD3D,0.0
8,CD3D,0.0
